station_number,area_code,parameter,valid_start,valid_end,value,unit,statistic,instantaneous,level,qc_valid_minutes,qc_valid_minutes_start,qc_valid_minutes_end
2012,WA_PT029,AIR_TEMP,1452189600,1452189600,27.7,Celsius,first,True,SFC,,1452189600,
2012,WA_PT029,AIR_TEMP,1452193200,1452193200,27.6,Celsius,first,True,SFC,,1452193200,
2012,WA_PT029,AIR_TEMP,1452204000,1452204000,26.0,Celsius,first,True,SFC,,1452193500,
2012,WA_PT029,AIR_TEMP,1452207600,1452207600,27.2,Celsius,first,True,SFC,,1452205200,
2012,WA_PT029,AIR_TEMP,1452211200,1452211200,27.6,Celsius,first,True,SFC,,1452211200,
2012,WA_PT029,AIR_TEMP,1452214800,1452214800,29.6,Celsius,first,True,SFC,,1452214800,
2012,WA_PT029,AIR_TEMP,1452218400,1452218400,31.4,Celsius,first,True,SFC,,1452218400,
2012,WA_PT029,AIR_TEMP,1452222000,1452222000,33.6,Celsius,first,True,SFC,,1452222000,
2012,WA_PT029,AIR_TEMP,1452225600,1452225600,34.4,Celsius,first,True,SFC,,1452225600,
2012,WA_PT029,AIR_TEMP,1452229200,1452229200,34.8,Celsius,first,True,SFC,,1452229200,
2012,WA_PT029,AIR_TEMP,1452232800,1452232800,35.1,Celsius,first,True,SFC,,1452232800,
2012,WA_PT029,AIR_TEMP,1452236400,1452236400,35.6,Celsius,first,True,SFC,,1452236400,
2012,WA_PT029,AIR_TEMP,1452240000,1452240000,35.5,Celsius,first,True,SFC,,1452240000,
2012,WA_PT029,AIR_TEMP,1452243600,1452243600,35.4,Celsius,first,True,SFC,,1452243600,
2012,WA_PT029,AIR_TEMP,1452247200,1452247200,33.8,Celsius,first,True,SFC,,1452247200,
2012,WA_PT029,AIR_TEMP,1452250800,1452250800,31.9,Celsius,first,True,SFC,,1452250800,
2012,WA_PT029,AIR_TEMP,1452254400,1452254400,31.2,Celsius,first,True,SFC,,1452254400,
2012,WA_PT029,AIR_TEMP,1452258000,1452258000,29.8,Celsius,first,True,SFC,,1452258000,
2012,WA_PT029,AIR_TEMP,1452261600,1452261600,29.1,Celsius,first,True,SFC,,1452261600,
2012,WA_PT029,AIR_TEMP,1452265200,1452265200,28.3,Celsius,first,True,SFC,,1452265200,
2056,WA_PT116,AIR_TEMP,1452182400,1452182400,28.1,Celsius,first,True,SFC,,1452182400,
2056,WA_PT116,AIR_TEMP,1452186000,1452186000,27.6,Celsius,first,True,SFC,,1452186000,
2056,WA_PT116,AIR_TEMP,1452189600,1452189600,27.3,Celsius,first,True,SFC,,1452189600,
2056,WA_PT116,AIR_TEMP,1452193200,1452193200,27.0,Celsius,first,True,SFC,,1452193200,
2056,WA_PT116,AIR_TEMP,1452204000,1452204000,28.4,Celsius,first,True,SFC,,1452193440,
2056,WA_PT116,AIR_TEMP,1452207600,1452207600,29.7,Celsius,first,True,SFC,,1452207480,
2056,WA_PT116,AIR_TEMP,1452211200,1452211200,30.6,Celsius,first,True,SFC,,1452211200,
2056,WA_PT116,AIR_TEMP,1452214800,1452214800,31.3,Celsius,first,True,SFC,,1452214800,
2056,WA_PT116,AIR_TEMP,1452218400,1452218400,33.0,Celsius,first,True,SFC,,1452218400,
2056,WA_PT116,AIR_TEMP,1452222000,1452222000,34.5,Celsius,first,True,SFC,,1452222000,
2056,WA_PT116,AIR_TEMP,1452225600,1452225600,34.7,Celsius,first,True,SFC,,1452225600,
2056,WA_PT116,AIR_TEMP,1452229200,1452229200,35.6,Celsius,first,True,SFC,,1452229200,
2056,WA_PT116,AIR_TEMP,1452232800,1452232800,36.8,Celsius,first,True,SFC,,1452232800,
2056,WA_PT116,AIR_TEMP,1452236400,1452236400,30.2,Celsius,first,True,SFC,,1452236400,
2056,WA_PT116,AIR_TEMP,1452240000,1452240000,29.5,Celsius,first,True,SFC,,1452240000,
2056,WA_PT116,AIR_TEMP,1452243600,1452243600,29.6,Celsius,first,True,SFC,,1452243600,
2056,WA_PT116,AIR_TEMP,1452247200,1452247200,28.7,Celsius,first,True,SFC,,1452247200,
2056,WA_PT116,AIR_TEMP,1452250800,1452250800,28.3,Celsius,first,True,SFC,,1452250800,
2056,WA_PT116,AIR_TEMP,1452254400,1452254400,28.0,Celsius,first,True,SFC,,1452254400,
2056,WA_PT116,AIR_TEMP,1452258000,1452258000,28.0,Celsius,first,True,SFC,,1452258000,
2056,WA_PT116,AIR_TEMP,1452261600,1452261600,27.6,Celsius,first,True,SFC,,1452261600,
2056,WA_PT116,AIR_TEMP,1452265200,1452265200,27.5,Celsius,first,True,SFC,,1452265200,
2064,WA_PT016,AIR_TEMP,1452182400,1452182400,32.1,Celsius,first,True,SFC,,1452182400,
2064,WA_PT016,AIR_TEMP,1452186000,1452186000,31.5,Celsius,first,True,SFC,,1452186000,
2064,WA_PT016,AIR_TEMP,1452189600,1452189600,30.3,Celsius,first,True,SFC,,1452189600,
2064,WA_PT016,AIR_TEMP,1452193200,1452193200,30.4,Celsius,first,True,SFC,,1452193200,
2064,WA_PT016,AIR_TEMP,1452204000,1452204000,29.9,Celsius,first,True,SFC,,1452193500,
2064,WA_PT016,AIR_TEMP,1452207600,1452207600,31.2,Celsius,first,True,SFC,,1452207480,
2064,WA_PT016,AIR_TEMP,1452211200,1452211200,32.4,Celsius,first,True,SFC,,1452211200,
2064,WA_PT016,AIR_TEMP,1452214800,1452214800,34.0,Celsius,first,True,SFC,,1452214800,
2064,WA_PT016,AIR_TEMP,1452218400,1452218400,35.2,Celsius,first,True,SFC,,1452218400,
2064,WA_PT016,AIR_TEMP,1452222000,1452222000,35.9,Celsius,first,True,SFC,,1452222000,
2064,WA_PT016,AIR_TEMP,1452225600,1452225600,37.8,Celsius,first,True,SFC,,1452225600,
2064,WA_PT016,AIR_TEMP,1452229200,1452229200,37.1,Celsius,first,True,SFC,,1452229200,
2064,WA_PT016,AIR_TEMP,1452232800,1452232800,37.1,Celsius,first,True,SFC,,1452232800,
2064,WA_PT016,AIR_TEMP,1452236400,1452236400,36.3,Celsius,first,True,SFC,,1452236400,
2064,WA_PT016,AIR_TEMP,1452240000,1452240000,36.2,Celsius,first,True,SFC,,1452240000,
2064,WA_PT016,AIR_TEMP,1452243600,1452243600,36.0,Celsius,first,True,SFC,,1452243600,
2064,WA_PT016,AIR_TEMP,1452247200,1452247200,35.0,Celsius,first,True,SFC,,1452247200,
2064,WA_PT016,AIR_TEMP,1452250800,1452250800,33.1,Celsius,first,True,SFC,,1452250800,
2064,WA_PT016,AIR_TEMP,1452254400,1452254400,32.8,Celsius,first,True,SFC,,1452254400,
2064,WA_PT016,AIR_TEMP,1452258000,1452258000,32.0,Celsius,first,True,SFC,,1452258000,
2064,WA_PT016,AIR_TEMP,1452261600,1452261600,31.2,Celsius,first,True,SFC,,1452261600,
2064,WA_PT016,AIR_TEMP,1452265200,1452265200,30.9,Celsius,first,True,SFC,,1452265200,
3003,WA_PT002,AIR_TEMP,1452182400,1452182400,29.0,Celsius,first,True,SFC,,1452182400,
3003,WA_PT002,AIR_TEMP,1452186000,1452186000,29.0,Celsius,first,True,SFC,,1452186000,
3003,WA_PT002,AIR_TEMP,1452189600,1452189600,29.0,Celsius,first,True,SFC,,1452189600,
3003,WA_PT002,AIR_TEMP,1452193200,1452193200,29.0,Celsius,first,True,SFC,,1452193200,
3003,WA_PT002,AIR_TEMP,1452200400,1452200400,27.3,Celsius,first,True,SFC,,1452193500,
3003,WA_PT002,AIR_TEMP,1452204000,1452204000,28.3,Celsius,first,True,SFC,,1452201360,
3003,WA_PT002,AIR_TEMP,1452207600,1452207600,31.9,Celsius,first,True,SFC,,1452205140,
3003,WA_PT002,AIR_TEMP,1452211200,1452211200,32.7,Celsius,first,True,SFC,,1452211200,
3003,WA_PT002,AIR_TEMP,1452214800,1452214800,33.2,Celsius,first,True,SFC,,1452214800,
3003,WA_PT002,AIR_TEMP,1452218400,1452218400,34.5,Celsius,first,True,SFC,,1452218400,
3003,WA_PT002,AIR_TEMP,1452222000,1452222000,36.4,Celsius,first,True,SFC,,1452222000,
3003,WA_PT002,AIR_TEMP,1452225600,1452225600,38.1,Celsius,first,True,SFC,,1452225600,
3003,WA_PT002,AIR_TEMP,1452229200,1452229200,39.4,Celsius,first,True,SFC,,1452229200,
3003,WA_PT002,AIR_TEMP,1452232800,1452232800,36.5,Celsius,first,True,SFC,,1452232800,
3003,WA_PT002,AIR_TEMP,1452236400,1452236400,34.5,Celsius,first,True,SFC,,1452236400,
3003,WA_PT002,AIR_TEMP,1452240000,1452240000,33.4,Celsius,first,True,SFC,,1452240000,
3003,WA_PT002,AIR_TEMP,1452243600,1452243600,33.0,Celsius,first,True,SFC,,1452243600,
3003,WA_PT002,AIR_TEMP,1452247200,1452247200,31.9,Celsius,first,True,SFC,,1452247200,
3003,WA_PT002,AIR_TEMP,1452250800,1452250800,31.4,Celsius,first,True,SFC,,1452250800,
3003,WA_PT002,AIR_TEMP,1452254400,1452254400,30.9,Celsius,first,True,SFC,,1452254400,
3003,WA_PT002,AIR_TEMP,1452258000,1452258000,30.4,Celsius,first,True,SFC,,1452258000,
3003,WA_PT002,AIR_TEMP,1452261600,1452261600,30.0,Celsius,first,True,SFC,,1452261600,
3003,WA_PT002,AIR_TEMP,1452265200,1452265200,29.6,Celsius,first,True,SFC,,1452265200,
3032,WA_PT089,AIR_TEMP,1452182400,1452182400,30.7,Celsius,first,True,SFC,,1452182400,
3032,WA_PT089,AIR_TEMP,1452186000,1452186000,30.7,Celsius,first,True,SFC,,1452186000,
3032,WA_PT089,AIR_TEMP,1452189600,1452189600,30.2,Celsius,first,True,SFC,,1452189600,
3032,WA_PT089,AIR_TEMP,1452193200,1452193200,30.0,Celsius,first,True,SFC,,1452193200,
3032,WA_PT089,AIR_TEMP,1452204000,1452204000,29.6,Celsius,first,True,SFC,,1452193500,
3032,WA_PT089,AIR_TEMP,1452207600,1452207600,30.2,Celsius,first,True,SFC,,1452207480,
3032,WA_PT089,AIR_TEMP,1452211200,1452211200,31.6,Celsius,first,True,SFC,,1452211200,
3032,WA_PT089,AIR_TEMP,1452214800,1452214800,33.4,Celsius,first,True,SFC,,1452214800,
3032,WA_PT089,AIR_TEMP,1452218400,1452218400,34.0,Celsius,first,True,SFC,,1452218400,
3032,WA_PT089,AIR_TEMP,1452222000,1452222000,33.4,Celsius,first,True,SFC,,1452222000,
3032,WA_PT089,AIR_TEMP,1452225600,1452225600,34.8,Celsius,first,True,SFC,,1452225600,
3032,WA_PT089,AIR_TEMP,1452229200,1452229200,37.3,Celsius,first,True,SFC,,1452229200,
3032,WA_PT089,AIR_TEMP,1452232800,1452232800,38.2,Celsius,first,True,SFC,,1452232800,
3032,WA_PT089,AIR_TEMP,1452236400,1452236400,39.6,Celsius,first,True,SFC,,1452236400,
3032,WA_PT089,AIR_TEMP,1452240000,1452240000,38.5,Celsius,first,True,SFC,,1452240000,
3032,WA_PT089,AIR_TEMP,1452243600,1452243600,37.5,Celsius,first,True,SFC,,1452243600,
3032,WA_PT089,AIR_TEMP,1452247200,1452247200,35.5,Celsius,first,True,SFC,,1452247200,
3032,WA_PT089,AIR_TEMP,1452250800,1452250800,34.4,Celsius,first,True,SFC,,1452250800,
3032,WA_PT089,AIR_TEMP,1452254400,1452254400,32.7,Celsius,first,True,SFC,,1452254400,
3032,WA_PT089,AIR_TEMP,1452258000,1452258000,31.8,Celsius,first,True,SFC,,1452258000,
3032,WA_PT089,AIR_TEMP,1452261600,1452261600,31.5,Celsius,first,True,SFC,,1452261600,
3032,WA_PT089,AIR_TEMP,1452265200,1452265200,31.0,Celsius,first,True,SFC,,1452265200,
3080,WA_PT087,AIR_TEMP,1452182400,1452182400,30.9,Celsius,first,True,SFC,,1452182400,
3080,WA_PT087,AIR_TEMP,1452186000,1452186000,30.6,Celsius,first,True,SFC,,1452186000,
3080,WA_PT087,AIR_TEMP,1452189600,1452189600,30.1,Celsius,first,True,SFC,,1452189600,
3080,WA_PT087,AIR_TEMP,1452193200,1452193200,29.6,Celsius,first,True,SFC,,1452193200,
3080,WA_PT087,AIR_TEMP,1452204000,1452204000,29.0,Celsius,first,True,SFC,,1452193500,
3080,WA_PT087,AIR_TEMP,1452207600,1452207600,30.2,Celsius,first,True,SFC,,1452207600,
3080,WA_PT087,AIR_TEMP,1452211200,1452211200,30.2,Celsius,first,True,SFC,,1452211200,
3080,WA_PT087,AIR_TEMP,1452214800,1452214800,30.9,Celsius,first,True,SFC,,1452214800,
3080,WA_PT087,AIR_TEMP,1452218400,1452218400,30.8,Celsius,first,True,SFC,,1452218400,
3080,WA_PT087,AIR_TEMP,1452222000,1452222000,31.4,Celsius,first,True,SFC,,1452222000,
3080,WA_PT087,AIR_TEMP,1452225600,1452225600,32.1,Celsius,first,True,SFC,,1452225600,
3080,WA_PT087,AIR_TEMP,1452229200,1452229200,35.7,Celsius,first,True,SFC,,1452229200,
3080,WA_PT087,AIR_TEMP,1452232800,1452232800,37.3,Celsius,first,True,SFC,,1452232800,
3080,WA_PT087,AIR_TEMP,1452236400,1452236400,38.4,Celsius,first,True,SFC,,1452236400,
3080,WA_PT087,AIR_TEMP,1452240000,1452240000,38.2,Celsius,first,True,SFC,,1452240000,
3080,WA_PT087,AIR_TEMP,1452243600,1452243600,38.5,Celsius,first,True,SFC,,1452243600,
3080,WA_PT087,AIR_TEMP,1452247200,1452247200,37.3,Celsius,first,True,SFC,,1452247200,
3080,WA_PT087,AIR_TEMP,1452250800,1452250800,32.2,Celsius,first,True,SFC,,1452250800,
3080,WA_PT087,AIR_TEMP,1452254400,1452254400,31.6,Celsius,first,True,SFC,,1452254400,
3080,WA_PT087,AIR_TEMP,1452258000,1452258000,30.7,Celsius,first,True,SFC,,1452258000,
3080,WA_PT087,AIR_TEMP,1452261600,1452261600,29.4,Celsius,first,True,SFC,,1452261600,
3080,WA_PT087,AIR_TEMP,1452265200,1452265200,28.5,Celsius,first,True,SFC,,1452265200,
3093,WA_PT027,AIR_TEMP,1452182400,1452182400,32.0,Celsius,first,True,SFC,,1452182400,
3093,WA_PT027,AIR_TEMP,1452186000,1452186000,32.4,Celsius,first,True,SFC,,1452186000,
3093,WA_PT027,AIR_TEMP,1452189600,1452189600,31.7,Celsius,first,True,SFC,,1452189600,
3093,WA_PT027,AIR_TEMP,1452193200,1452193200,31.2,Celsius,first,True,SFC,,1452193200,
3093,WA_PT027,AIR_TEMP,1452200400,1452200400,27.8,Celsius,first,True,SFC,,1452193500,
3093,WA_PT027,AIR_TEMP,1452204000,1452204000,27.6,Celsius,first,True,SFC,,1452201300,
3093,WA_PT027,AIR_TEMP,1452207600,1452207600,24.8,Celsius,first,True,SFC,,1452207600,
